date,area,n,strike_label,k,K,price_per_1,source
2018-02-28,EU,1,S2,0.02,1.02,0.06,cap
2018-02-28,EU,1,S3,0.03,1.03,0.005,cap
2018-02-28,EU,1,S4,0.04,1.04,0.001,cap
2018-02-28,EU,1,S5,0.05,1.05,0.0,cap
2018-03-30,EU,1,S2,0.02,1.02,0.062,cap
2018-03-30,EU,1,S3,0.03,1.03,0.006,cap
2018-03-30,EU,1,S4,0.04,1.04,0.001,cap
2018-03-30,EU,1,S5,0.05,1.05,0.0,cap
2018-04-30,EU,1,S2,0.02,1.02,0.052000000000000005,cap
2018-04-30,EU,1,S3,0.03,1.03,0.006,cap
2018-04-30,EU,1,S4,0.04,1.04,0.001,cap
2018-04-30,EU,1,S5,0.05,1.05,0.0,cap
2018-05-31,EU,1,S2,0.02,1.02,0.135,cap
2018-05-31,EU,1,S3,0.03,1.03,0.01,cap
2018-05-31,EU,1,S4,0.04,1.04,0.001,cap
2018-05-31,EU,1,S5,0.05,1.05,0.0,cap
2018-06-29,EU,1,S2,0.02,1.02,0.152,cap
2018-06-29,EU,1,S3,0.03,1.03,0.015,cap
2018-06-29,EU,1,S4,0.04,1.04,0.002,cap
2018-06-29,EU,1,S5,0.05,1.05,0.0,cap
2018-07-31,EU,1,S2,0.02,1.02,0.159,cap
2018-07-31,EU,1,S3,0.03,1.03,0.022000000000000002,cap
2018-07-31,EU,1,S4,0.04,1.04,0.005,cap
2018-07-31,EU,1,S5,0.05,1.05,0.001,cap
2018-08-31,EU,1,S2,0.02,1.02,0.077,cap
2018-08-31,EU,1,S3,0.03,1.03,0.012,cap
2018-08-31,EU,1,S4,0.04,1.04,0.003,cap
2018-08-31,EU,1,S5,0.05,1.05,0.001,cap
2018-09-28,EU,1,S2,0.02,1.02,0.076,cap
2018-09-28,EU,1,S3,0.03,1.03,0.006,cap
2018-09-28,EU,1,S4,0.04,1.04,0.001,cap
2018-09-28,EU,1,S5,0.05,1.05,0.001,cap
2018-10-31,EU,1,S2,0.02,1.02,0.09,cap
2018-10-31,EU,1,S3,0.03,1.03,0.006999999999999999,cap
2018-10-31,EU,1,S4,0.04,1.04,0.002,cap
2018-10-31,EU,1,S5,0.05,1.05,0.001,cap
2018-11-30,EU,1,S2,0.02,1.02,0.042,cap
2018-11-30,EU,1,S3,0.03,1.03,0.006999999999999999,cap
2018-11-30,EU,1,S4,0.04,1.04,0.002,cap
